geo	Month	Central.estimate	bottom	lower_band	central_band	upper_band	Long.run	commentary_central	commentary_higher	commentary_lower
Japan	19875	0.05	-0.1	0	0.1	0.1	NA	The BoJ continues to wait, balancing the risks of higher inflation from a weak yen and economic weakness	BoJ defends value of the yen with a rate rise despite continued weakness of its economy on fears of sustained high inflation	An unlikely reaction to the weakness in the Japanese economy
Japan	19905	0.05	-0.1	0	0.1	0.1	NA	The BoJ feels it has enough evidence on a positive wage price dynamic to increase rate and end negative rates but wants to tighten monetary policy slowly	The BoJ worries that prolonged yen weakness will push inflation up too fast and requires a rate rise to stabilise the currency	Sudden economic weakness forces the BoJ to reverse course
Japan	19936	NA	-0.1	0.02	0.1	0.1	NA	NA	NA	NA
Japan	19967	NA	-0.1	0.04	0.1	0.1	NA	NA	NA	NA
Japan	19997	NA	-0.1	0.06	0.1	0.1	NA	NA	NA	NA
Japan	20028	NA	-0.1	0.08	0.1	0.1	NA	NA	NA	NA
Japan	20058	0.15	-0.1	0.1	0.1	0.1	NA	BoJ feels it is making progress normalising monetary policy amid a still relatively weak economy and inflation expectations converging on 2 per cent	Ongoing strong wage demands and an economic rebound embeds inflation into expectations	Signs of deflation return, significantly weaker expectations at the next round
Japan	20089	NA	-0.108333333333333	0.116666666666667	0.1	0.116666666666667	NA	NA	NA	NA
Japan	20120	NA	-0.116666666666667	0.133333333333333	0.1	0.133333333333333	NA	NA	NA	NA
Japan	20148	NA	-0.125	0.15	0.1	0.15	NA	NA	NA	NA
Japan	20179	NA	-0.133333333333333	0.166666666666667	0.1	0.166666666666667	NA	NA	NA	NA
Japan	20209	NA	-0.141666666666667	0.183333333333333	0.1	0.183333333333333	NA	NA	NA	NA
Japan	20240	0.25	-0.15	0.2	0.1	0.2	NA	BoJ feels it is making progress normalising monetary policy amid a still relatively weak economy and inflation expectations converging on 2 per cent	Ongoing strong wage demands and an economic rebound embeds inflation into expectations	Signs of deflation return, significantly weaker expectations at the next round
Japan	20270	NA	-0.15	0.216666666666667	0.1	0.266666666666667	NA	NA	NA	NA
Japan	20301	NA	-0.15	0.233333333333333	0.1	0.333333333333333	NA	NA	NA	NA
Japan	20332	NA	-0.15	0.25	0.1	0.4	NA	NA	NA	NA
Japan	20362	NA	-0.15	0.266666666666667	0.1	0.466666666666667	NA	NA	NA	NA
Japan	20393	NA	-0.15	0.283333333333333	0.1	0.533333333333333	NA	NA	NA	NA
Japan	20423	0.35	-0.15	0.3	0.1	0.6	NA	The BoJ delivers a cautious tightening but will still effectively zero interest rates. The tightening has been more symbolic than real or significant	Japan’s economy reaches lift off with positive wage expectations and a decisive break with the past	The Japanese economy retains the need for negative interest rates with any move perceived to be too risky
Japan	20454	NA	-0.141666666666667	0.316666666666667	0.1	0.666666666666667	NA	NA	NA	NA
Japan	20485	NA	-0.133333333333333	0.333333333333333	0.1	0.733333333333333	NA	NA	NA	NA
Japan	20513	NA	-0.125	0.35	0.1	0.8	NA	NA	NA	NA
Japan	20544	NA	-0.116666666666667	0.366666666666667	0.1	0.866666666666667	NA	NA	NA	NA
Japan	20574	NA	-0.108333333333333	0.383333333333333	0.1	0.933333333333333	NA	NA	NA	NA
Japan	20605	0.45	-0.1	0.4	0.1	1	0.45	The BoJ delivers a cautious tightening but will still effectively zero interest rates. The tightening has been more symbolic than real or significant	Japan’s economy reaches lift off with positive wage expectations and a decisive break with the past	The Japanese economy retains the need for negative interest rates with any move perceived to be too risky
Japan	20635	NA	NA	NA	NA	NA	NA	NA	NA	NA
Japan	20666	NA	NA	NA	NA	NA	NA	NA	NA	NA
Japan	20697	NA	0	0.75	1	1	1.25	Interest rates converge on a relatively low neutral rate similar to the very long term JGB yield. The rate is low given Japan’s long history of difficulties in sufficiently raising inflation rates, which we expect to continue, albeit with less of a struggle than in the 2000s. The path towards these rates might be bumpy with long periods outside the range. Hence the low probability for a central scenario	A successful emergence from decades of weak growth and inflation would require higher neutral interest rates. A clear exit from below target inflation would need higher nominal rates to keep the same longer-term monetary policy stance	Japan falls back into its low inflation trap, failing to generate domestic inflation and wage growth.
